epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
66,18870.9,0.38896,0.29372,0.94486,0.98179,0.98823,0.98779,0.97673,0.17709,0.14848,0.79589,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,19155.4,0.3852,0.29371,0.94241,0.98448,0.99149,0.99114,0.98073,0.16002,0.13084,0.79175,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,19439.8,0.38198,0.29356,0.94251,0.98786,0.99076,0.99074,0.98067,0.15817,0.12916,0.7897,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,19723,0.38014,0.28878,0.93838,0.98438,0.99235,0.98906,0.97943,0.14858,0.12359,0.78637,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,20008.2,0.38354,0.28992,0.94208,0.98688,0.98948,0.98824,0.98043,0.15214,0.1263,0.78681,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,286.262,0.37904,0.28339,0.94115,0.98479,0.99289,0.98857,0.97768,0.15171,0.11836,0.78977,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,549.235,0.38133,0.2825,0.94003,0.98857,0.99205,0.992,0.98007,0.16662,0.12494,0.79208,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,811.05,0.37553,0.286,0.9414,0.98585,0.99245,0.99147,0.97885,0.16935,0.13074,0.79655,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,1072.92,0.37339,0.28119,0.94028,0.98466,0.99059,0.98886,0.97978,0.15198,0.12226,0.79099,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,1334.94,0.37876,0.2831,0.94123,0.98715,0.9901,0.98988,0.98115,0.15018,0.12883,0.79105,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,1597.39,0.36892,0.27953,0.93866,0.98668,0.98862,0.99085,0.98168,0.15643,0.12923,0.79136,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,1859.84,0.37134,0.27746,0.94005,0.98595,0.98999,0.98754,0.97644,0.15995,0.1393,0.78939,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,2122.13,0.37294,0.28185,0.93754,0.98642,0.98782,0.98886,0.97833,0.15314,0.15055,0.78975,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,2383.81,0.36578,0.27353,0.93236,0.98511,0.98301,0.99055,0.98087,0.15914,0.13516,0.79173,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,2646.06,0.36676,0.2736,0.93271,0.98189,0.97975,0.99093,0.98044,0.15922,0.14568,0.79097,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,2907.98,0.36452,0.27385,0.93087,0.98244,0.98547,0.99094,0.98165,0.1572,0.12766,0.79047,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
