epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,15149.1,0.32503,0.33445,0.92007,0.96535,0.95013,0.97716,0.9654,0.16277,0.23655,0.79376,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
43,15498.8,0.32566,0.33373,0.92121,0.97058,0.9474,0.9788,0.96695,0.16065,0.22732,0.79309,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
44,15849.9,0.31931,0.32717,0.91702,0.96912,0.94618,0.97669,0.96514,0.1602,0.23645,0.79235,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
45,16203.8,0.31782,0.31926,0.91551,0.96881,0.95167,0.9776,0.96654,0.1589,0.22705,0.79258,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
46,16553.4,0.31198,0.3133,0.91505,0.96965,0.95581,0.98022,0.96911,0.15776,0.21673,0.79192,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
47,16903.8,0.31192,0.30979,0.91475,0.96845,0.95852,0.98,0.96895,0.15714,0.21734,0.79188,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
48,17254.5,0.31064,0.30597,0.91273,0.96883,0.95595,0.97976,0.96949,0.15524,0.22038,0.7904,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
49,17603.8,0.31012,0.30839,0.91403,0.96997,0.95533,0.97995,0.96971,0.15455,0.21726,0.78981,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
50,17956.7,0.30697,0.30162,0.91184,0.96296,0.96267,0.97952,0.96988,0.15354,0.21618,0.78921,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
51,18305.9,0.30261,0.29873,0.90992,0.96383,0.96333,0.97966,0.97,0.15258,0.21118,0.78848,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
52,18659.6,0.30151,0.29747,0.91039,0.9621,0.96287,0.97959,0.96942,0.15217,0.21148,0.78845,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
53,19008.8,0.29657,0.29037,0.90893,0.96539,0.96054,0.97966,0.9696,0.15191,0.20879,0.7885,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
54,19360.9,0.29663,0.28556,0.90873,0.97025,0.9571,0.97955,0.96937,0.15136,0.2102,0.78824,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
55,19709.4,0.29474,0.2857,0.90605,0.96942,0.95803,0.97974,0.96963,0.15052,0.20883,0.78777,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
56,20062.1,0.29069,0.27546,0.90641,0.97025,0.95683,0.97936,0.96947,0.14977,0.21006,0.78742,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
57,20418.8,0.28979,0.27332,0.90575,0.9687,0.95906,0.97927,0.96948,0.14942,0.20966,0.78715,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608
58,20772.5,0.28628,0.27241,0.9043,0.96924,0.95865,0.97907,0.96915,0.14904,0.21007,0.78694,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
59,21122.6,0.28532,0.27075,0.90586,0.9692,0.95947,0.97944,0.96953,0.14881,0.20757,0.78688,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344
60,21474.4,0.27937,0.26496,0.90154,0.96129,0.96632,0.97914,0.96934,0.14832,0.2053,0.78673,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212
61,21826.1,0.2801,0.26385,0.90409,0.96324,0.96546,0.9797,0.96988,0.14816,0.2036,0.78676,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
62,22178.1,0.27772,0.26059,0.90029,0.96218,0.96692,0.97985,0.9703,0.14795,0.20245,0.78657,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948
63,22531.6,0.27579,0.25556,0.90023,0.96441,0.96597,0.9797,0.97014,0.14704,0.202,0.78589,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816
64,22884.6,0.26918,0.24588,0.89882,0.96396,0.96662,0.97957,0.97022,0.14639,0.20186,0.78548,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
65,23236.4,0.26882,0.24786,0.8985,0.96453,0.96669,0.97966,0.97038,0.14593,0.20048,0.78531,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552
